GSSCode,AccomType2011,Ethnic2011,HouseholdComp2011,Soecono2011,Tenure2011,Income2011,Qualification2011,Depriavation2011,Umemploy2011,HousingPrice2011,ChangAccomType,ChangeEthnic,ChangeHousehold,ChangeSoecono,ChangeTenure,ChangeIncome,ChangeQualification,ChangeDepriavation,ChangeUmemploy,ChangeHousingPrice
E01000001,1.42,7.61,37.02,28.15,27.41,65520,77.6,6.16,3.53,504999.5,0.44,2.83,12,-7.07,0.86,13.28,5.29,5.93,1.4,102.75
E01000002,1.74,5.8,38.2,28.92,29.32,66300,79.2,5.59,1.73,525000,-0.05,1.21,10.1,-6.64,2.65,17.13,10.84,5.27,-2,113.2
E01000003,0.43,10.23,33.56,47.42,40.95,54140,56.8,13.29,4.74,350000,-0.17,4.11,-5.16,-15.22,4.39,18.72,6.52,1.82,-0.17,89.89
E01000005,1.92,25.59,46.68,86.15,29.71,46740,34.5,21.36,8.68,300000,0.44,9.46,-2.66,-1.17,3.83,17.93,3.18,-24.78,-3.63,103.22
E01000006,24.7,39.95,56.96,90.31,25.65,38200,32.9,17.08,9.5,240500,5.03,25.7,-2.45,3.88,2.6,14.61,10.4,4.51,1.79,193.29
E01000007,7.42,47.25,43.78,85.59,41.19,32940,32.3,37.24,11.9,212000,-2.97,28.27,-3.14,-2.79,25.34,17.34,14.18,-10.86,-0.14,168.78
E01000008,3.33,34.65,52.27,76.71,13.73,31430,24.2,45.22,17.96,140000,-5.54,17.67,2.25,-7.69,3.94,12.49,8.46,0.57,5.35,112.93
E01000009,33.98,40.8,64.2,90.73,35.73,35230,35,29.41,10.04,226500,5.58,21.25,0.05,-0.87,2.86,10.56,12.01,2.01,2.54,96.27
E01000010,10.11,46.66,56.16,74.88,27.9,35190,44.9,38.45,9.65,151475,-21.95,26.05,-2.64,-13.28,-1.2,24.44,23.45,-4.15,-2.81,85.86
E01000011,30.72,32.19,45.65,88.01,31.34,34830,29.6,29.48,10.24,214000,10.45,12.37,-9.87,-5.99,3.43,14.34,5.4,-2.56,0.7,102.84
E01000012,15.45,46.09,51.26,88.15,26.98,33780,33.1,37.34,10.67,170000,-9.39,23.93,7.85,-3.1,-6.56,11.45,12.15,8.79,3.37,190.01
E01000013,16.13,10.23,75.95,93.17,35.39,33190,16.9,39.8,10.13,161000,6.66,9.16,3.07,18.45,11.14,17.34,11.58,4.32,3.04,96.65
E01000014,15.35,7.98,70.87,92.42,30.62,32850,14.3,37.83,11.4,160000,1,6.65,4.2,9.6,7.51,12.65,10.2,1.45,2.27,99.7
E01000015,25.13,12.93,58.36,91.42,42.48,32520,17.8,38.81,11.68,150000,13.7,11.46,-7.1,5.79,18.38,14.87,11.8,7.23,3.8,84.9
E01000016,11.57,7.94,71.68,90.85,31.42,33720,14.5,31.64,9.07,159995,1.35,6.33,-4.07,9.94,6.74,17.07,8.73,-1.32,0.24,93.64
E01000017,16.5,9.95,72.79,94.58,28.9,33120,19.7,35.34,8.81,167500,3.02,7.95,2.39,15.72,4.29,17.29,13.11,1.02,2.22,104.44
E01000018,13.4,8.61,71.54,91.68,28.45,33750,16.9,32.63,10.45,162000,0.81,7.54,-0.27,9.57,4.32,17.4,12.41,-1.94,3.2,80.18
E01000019,18.15,17.88,71.63,89.42,35.05,33990,20.1,32.85,13.41,170000,2.41,14.58,3.17,-0.32,9.83,14.03,11.4,3.12,6.55,97.03
E01000020,25.05,11.9,61.61,92.5,34.61,34070,20.6,34.19,11.38,155000,0.22,8.96,-5.31,8.9,8.36,18.67,10.59,-0.94,5.66,73.06
E01000021,35.47,20.85,65.23,88.41,40.69,31980,22.4,34.03,13.19,160000,4.91,14.67,-9.61,-2.89,8.68,4.97,7.34,-0.47,2.59,94.53
E01000022,18.44,13.37,67.76,91.34,38.58,34440,18.4,28.62,10.23,165000,-0.06,10.25,-1.41,3.17,11.79,12.78,6.88,-0.59,3.61,97.61
E01000023,28.97,21.7,56.78,89.04,38.83,34270,28.7,23.9,11.15,179995,-0.12,9.49,-2.89,44.86,7,10.09,6.89,6.09,5.63,157.37
E01000024,16.31,17.74,69.5,93.95,33.16,33810,17.9,29.3,9.15,169500,0.1,14.7,0.53,8.3,9.3,12.29,8.8,-0.65,1.82,100.15
E01000025,13.73,9.83,70.66,92.35,41.12,33790,16.1,32.73,10.67,160500,2.64,8.33,0.1,11.34,12.96,15.78,8.74,-1.31,4.03,104.78
E01000027,31.34,7.36,69.75,91.78,39.58,32750,14.3,49.15,11.31,182500,3.15,5.64,2.28,22.24,5.19,20.41,8.76,-0.93,0.74,98.1
E01000028,23.84,16.42,68.19,90.47,30,31780,20.5,43.01,14.2,150000,-3.5,11.52,1.63,6.69,9.3,10.5,11.57,-7.95,4.69,77
E01000029,26.67,14.17,69.05,74.14,19.73,35540,20.7,26.83,7.45,231000,0.82,11.66,1.9,2,0.1,5.97,8.1,9.9,3.11,117.16
E01000030,20.97,12.15,63.05,89.81,19.21,31830,17.4,52.51,14.05,176500,0.1,10.34,-6.99,14.04,3.45,15.7,8.9,6.33,2.54,159.56
E01000031,30.28,23.68,71.71,82.81,21.81,38150,24.9,26.75,8.14,223750,3.89,19.6,8.95,9.06,5.15,5.8,10.27,14.48,3.35,89.02
E01000032,36.66,13.43,76.87,89.59,32.29,36230,19.2,29.6,10,216000,4.31,10.46,5.53,9.04,4.86,11.27,7.86,3.78,5.26,99.08
E01000033,30.98,7.45,67.37,86.9,23.78,33730,14.2,40.95,13.2,172000,0.37,5.81,-5.97,4.28,6.4,14.71,7.65,5.12,5.93,102.65
E01000034,27.47,6.02,77.49,91.3,34.18,36300,14.8,31.4,8.74,172500,0.37,4.59,3.33,6.31,3.75,12.78,7.34,-3.97,3.83,60
E01000035,27.48,11.17,72.57,88.88,34.55,37170,20.9,28.15,9.2,180000,4.64,8.6,1.8,5.29,7.65,12.99,12.99,12.23,2.79,89.22
E01000036,22.97,15.84,67.58,88.42,21.76,38460,22.8,21.53,6.3,202500,1.15,12.96,11.89,6.4,4.47,17,12.98,6.98,1.3,127.21
E01000037,19.08,3.61,66.6,77.6,15.35,40510,18.5,22.28,12.75,205000,-0.53,2.2,10.94,4.46,0.53,11.24,7.4,0.35,7.51,93.17
E01000038,22.38,4.08,68.6,85.34,23.32,38390,15.4,18.87,6.91,205000,0.8,2.59,5.61,14.08,0.59,10.27,8.45,2.13,3.07,74.94
E01000039,25.95,4.96,72.03,86.34,25.06,38810,22.1,18.39,7.34,192500,2.64,3.19,10.3,12.99,6.91,1.17,7.16,4.74,4.46,85.65
E01000040,28.99,17.14,72.71,93.99,26.16,33570,20.4,38.87,10.73,173000,6,14.57,-4.32,19.27,8.06,23.05,12.4,-7.7,2.7,127.82
E01000041,11.9,11.62,68.81,94.07,29.9,33500,17.1,32.86,11.08,160000,4.61,9.99,0.79,17.7,7.13,17.53,12.45,6.5,5.94,103.98
E01000042,25.77,20.94,63.86,90.12,30.75,32270,20.3,39.49,14.91,153500,2.36,17.48,4.79,15.48,15.03,14.21,8.36,3.19,6.79,104.7
E01000043,22.48,23.34,72.66,89.57,30.73,34390,19.2,32.94,11.13,225000,1.65,19.34,-7.4,6.74,9.65,13.05,8.26,9.82,5,143.91
E01000044,20.31,39.74,65.11,89.79,31.99,35370,24,31.97,9.18,183000,10.13,28.56,-2.94,3.71,8.35,8.24,4.42,8.07,3.14,108.43
E01000045,21.32,15.28,65.78,93.35,31.82,34060,21.9,40.12,10.34,139500,9.41,13.15,-8.17,8.07,7.35,17.33,13.1,8.48,4.44,73.16
E01000046,18.27,9.27,65.93,89.73,36.55,33080,16.6,28.92,10.74,158000,5.47,7.32,-7.65,8.1,11.09,10.88,8.41,1.08,3.76,79.67
E01000048,2.69,26.34,49.05,77.2,5.68,28270,19.5,55.47,18.69,129000,-4.28,13.64,-0.87,-1.01,0.38,18.88,4.3,-7.08,0.75,118.64
E01000049,13.18,26.69,57.47,78.74,13.07,29960,20.7,44.56,17.08,135000,-3.17,17.5,-2.56,0.25,4.4,19.42,8.11,-12.03,4.12,62.42
E01000050,28.32,39.86,71.98,90.34,35.28,32130,26.3,34.65,11.82,188500,8.49,27.39,-2.52,1.23,5.85,14.29,9.39,4.52,5.32,128.85
E01000051,2.85,31.29,45.03,79.63,9.18,28400,22.9,53.9,17.89,137000,-1.2,17.96,-4.33,0.54,4.71,17.53,9.25,-2.95,1.19,0
E01000052,23.6,32.36,70.77,91.04,35.97,32570,24.6,29.24,8.65,149500,11.33,26.27,-2.98,3.87,9.59,9.36,9.22,1.88,2.61,81.35
E01000053,30.35,15.32,63.68,93.36,46.27,33100,20.6,32.75,11.39,112000,6.56,10.74,3.17,5.6,11.82,7.9,7.7,-2.08,3.53,82.86
E01000054,13.9,8.84,72.93,89.8,32.08,34260,16.6,29.77,10.25,159500,5.62,7.66,-0.19,11.03,10.33,21.56,10.17,1.48,3.88,93.77
E01000055,11.76,10.09,68.49,91.01,30.21,34210,18.4,29.71,11.04,152000,4.01,8.34,-1.87,9.1,9.85,19.8,10.84,-4.56,3.78,89.12
E01000056,17.35,10.73,60.73,92.77,46.04,33890,16.5,37.71,11.71,155000,9.88,8.89,-8.15,9.4,11.61,16.85,8.97,-1.35,4.77,97.31
E01000057,19.17,12.56,69.46,93.26,36.94,33940,21.2,38.86,9.39,152500,7.85,10.28,0.49,11.34,13.81,19.21,14.27,4.66,3.06,87.4
E01000058,20.27,16.78,67.57,91.06,38.28,34470,21.4,37.36,8.9,168000,10.02,14.97,1.43,10.77,16.58,28.03,15.38,9.63,2.03,100.78
E01000059,10.12,7.71,69.35,92.68,32.67,33460,16.4,34.55,10.01,150997.5,2.31,6.28,-0.98,7.04,11.48,18.8,9.5,4.03,2.47,86.71
E01000060,30.39,10,65.39,91.37,27.87,32960,18.7,42,12.03,158000,0.92,8.62,-0.4,19.68,7.28,18.63,12.06,3.68,3.44,88.38
E01000061,2.22,11.62,45.98,79.29,4.44,29130,17.2,51.26,18.63,116500,0.4,8.67,3.83,5.34,1.01,6.07,6.15,-10.45,-0.11,95.8
E01000062,24.5,11.14,73.56,89.57,32.73,33600,19.3,33.29,12.33,163000,2.73,9.73,4.69,12.4,6.03,16.93,12,6.51,6.88,86.69
E01000063,14,7.88,70.99,90.55,30.08,32930,14.7,33.92,11.62,163500,2.29,6.2,1.53,11.95,7.32,13.68,7.98,0.77,4.81,95.81
E01000064,29.22,9.52,75.27,92.58,37.69,32390,17.8,35.19,9.94,142500,3.67,7.8,4.53,13.75,11.09,13.08,12.14,2.66,2.76,77.57
E01000065,26.31,9.22,63.3,89.81,29.37,31210,17.2,36.6,11.38,158750,2.01,7.94,6.98,13.26,8.09,10.79,11.27,6.19,4.38,101.99
E01000066,31.58,25.47,67.25,95.91,29.86,39010,22,25.42,7.41,259747.5,8.68,23.21,-0.86,19.53,5.95,5.01,9.43,5.92,3.99,114.11
E01000067,25.17,21.95,70.94,90.61,29.73,40040,23.6,23.07,8.73,250000,4.26,19.96,4.15,15.65,5.29,3.56,11.47,6.85,5.34,82.32
E01000068,20.49,34.12,62.27,90.31,22.99,41560,26.5,23.35,6,260000,4.08,25.54,-0.66,7.76,5.33,13.3,7.29,6.25,1.94,99.23
E01000069,14.22,22.37,57.04,88.43,16.82,42310,23.7,15.88,4.29,298000,5.32,20.42,6.58,17.57,4.26,5.61,14.32,6.79,1.18,111.91
E01000070,25.72,34.39,65.94,88.02,22.63,41110,25.7,20.42,8.04,250000,4.26,30.53,-0.98,15.66,4.14,1.29,9.25,9.26,4.03,76.21
E01000071,27.06,35.38,69.66,89.26,31.97,39900,28.2,16.91,7.96,249995,7.15,29.93,2.76,12.74,10.43,-0.04,9.68,4.57,2.8,121.61
E01000072,29.7,11.75,65.76,89.86,39.15,31020,16.3,42.4,11.92,172750,14.75,9.67,-3.86,6.95,16.3,5.93,11,5.32,4.13,119.72
E01000073,13.85,10.37,68.41,92.37,32.28,33160,17.1,36.42,10.19,155000,3.94,8.78,-4.3,15.37,6.23,19.06,12.28,3.39,3.42,103.28
E01000074,16.75,8.76,66.78,90.3,27.98,33140,16.7,32.27,9.39,152000,3.14,7.46,-0.37,8.39,7.54,15.17,11.43,-2.64,2.45,98.37
E01000075,20.71,8.63,71.84,90.21,30.01,33810,15.4,34.92,9.23,181500,0.55,7.21,1.74,11.47,7.05,17.72,9.02,6.16,3.97,93.99
E01000076,18.49,11.4,66.98,91.68,30.48,32160,16.1,42.34,10.98,151000,3.48,10.08,-5.72,7.08,8.65,15.48,11.02,5.78,2.14,91.29
E01000077,16.3,11.68,70.63,87.46,38.22,32110,15.6,34.7,11.83,167250,3.98,9.63,-2.73,3.6,9.93,9.12,9.15,1.32,5.63,112.89
E01000078,17.94,9.48,69.23,92.66,38.23,32430,15.6,37.66,12.05,155747.5,2.8,7.7,0.92,6.22,13.63,13,9.89,4.31,3.31,99.52
